item_id,title,activity_type,code_module,code_presentation,description,tags,score
AAA_2013J_546726,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.9041400824167153
AAA_2013J_546704,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.896578181062242
AAA_2013J_546701,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.8960402297248996
AAA_2013J_546709,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.881988354534728
AAA_2013J_546974,Resource Resource,resource,AAA,2013J,Educational resource of type resource for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"resource,AAA,2013J",0.7632588640465577
AAA_2013J_546995,Resource Resource,resource,AAA,2013J,Educational resource of type resource for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"resource,AAA,2013J",0.7632588640465577
AAA_2013J_547043,Resource Resource,resource,AAA,2013J,Educational resource of type resource for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"resource,AAA,2013J",0.7632588640465577
AAA_2013J_547018,Resource Resource,resource,AAA,2013J,Educational resource of type resource for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"resource,AAA,2013J",0.7405006144432125
AAA_2013J_546670,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.8728253737419491
AAA_2013J_546706,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.8678961289844036
