item_id,title,activity_type,code_module,code_presentation,description,tags,score
AAA_2013J_546726,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.75
AAA_2013J_546704,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.7207012008608795
AAA_2013J_546701,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.7186168932984579
AAA_2013J_546709,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6641725082918642
AAA_2013J_546670,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.628670281910078
AAA_2013J_546706,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6095717846818042
AAA_2013J_546671,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6089694604019498
AAA_2013J_546712,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6057660142324282
AAA_2013J_546700,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6055691871890423
AAA_2013J_546668,Oucontent Resource,oucontent,AAA,2013J,Educational resource of type oucontent for module AAA in presentation 2013J. Available from week -1 to week -1. Module presentation length: 268 days.,"oucontent,AAA,2013J",0.6041153264239723
